,title
0,"Japan national football team, Colombia national football team, Colombia, 2023"
1,"Uruguay national football team, Japan, South Korea national football team"
2,"Tamil Nadu, Teacher Eligibility Test"
3,"Australia, Ecuador national football team"
4,"Vedanta Limited, Anil Agarwal, Vedanta Resources, Dividend, Interim dividend, Hindustan Zinc"
5,"Nepal, Laos, Bhutan"
6,Japan national football team
7,"Permanent account number, Income Tax Department"
8,"Laos, China, Fertilizer, Memorandum of understanding, Industrial park, Boten–Vientiane railway, Rail transport, Freight transport"
9,"Durgam Chinnaiah, Bellampalli Assembly constituency"
10,"Scottish National Party, Humza Yousaf, Nicola Sturgeon, Scotland, First Minister of Scotland, The Scottish Parliament, Kate Forbes"
11,Australia national football team
12,"New Delhi, Member of the Lok Sabha, Rajya Sabha"
13,"Fashion week, Lisbon, Portugal"
14,"2023, Teacher Eligibility Test, Telangana"
15,"India national football team, Kyrgyzstan national football team, Kyrgyzstan, Sunil Chhetri"
16,"United Nations, Glacier, Brahmaputra, Ganges, Climate change, Himalayas, India, António Guterres, Indus River"
17,"Bangladesh, Seychelles, Eleta Kingsley, FIFA"
18,Imprisonment
19,"Atique Ahmed, Imprisonment, Member of the Lok Sabha"
20,"Aviation fuel, Gevo, Sustainability, Renewable energy, Biofuel, Renewable resource"
21,"Income tax return, Income tax, Income Tax Department, Finance, Taxpayer"
22,"Cameroon national football team, Namibia, Africa Cup of Nations, Cameroon, 2023, Rigobert Song"
23,"Employees' Provident Fund Organisation, Interest rate, Finance"
24,"Bond, Finance, Bank of Cyprus, Investor"
25,"Netflix, Madhuri Dixit Nene"
26,"Hubble Space Telescope, Jupiter, Uranus, NASA"
27,"Naga Chaitanya, Sobhita Dhulipala, Samantha Ruth Prabhu, London"
28,"Indian National Congress, Rahul Gandhi, Hardeep Singh Puri, Lok Sabha, Vinayak Damodar Savarkar"
29,"Water conservation, India, March 29"
30,"Rama Navami, Rama, Hinduism"
31,"Priyanka Chopra, Hindi cinema, Kangana Ranaut, Karan Johar, Hollywood, Shah Rukh Khan"
32,"Sri Lanka, Dhanushkodi, Asylum seeker, India, Tamil Nadu"
33,"Aadhaar, Know your customer, Permanent account number, Cybercrime, Internet fraud, India, State Bank of India, HDFC Bank"
34,"Finance, Leverage, Financial crisis"
35,"Heat pump, Renewable energy, European Union, Wind power, Europe, Heating system"
36,"Jimin, BTS, K-pop, Solo album"
37,"Grand Prix motorcycle racing, Racing, Marc Márquez, Grande Prémio de Portugal, Francesco Bagnaia"
38,"Microsoft Corporation, GitHub, India"
39,"2022, Permanent account number"
40,"Supreme court, Mansoor Ali Shah, Chief Justice of Pakistan, Pakistan"
41,"Employees' Provident Fund Organisation, 2022"
42,"Atique Ahmed, India"
43,"G20, Ramnagar"
44,"K. Palaniswami, O. Panneerselvam, All India Anna Dravida Munnetra Kazhagam, Chennai, Madras High Court, High Court for the State of Telangana"
45,"The Last of Us, Naughty Dog, Steam"
46,"Avian influenza, Japan, Hokkaido, Disease outbreak"
47,"Microsoft Corporation, Layoff, Seattle, Seattle Metropolitan Area, Employee, Satya Nadella"
48,"Eye color, Retina, Metabolite, Metabolism, Kynurenine pathway, Genetics, Gene"
49,"Income tax, India, The Income-tax Act, 1961"
50,"Shah Rukh Khan, Rolls-Royce Holdings, black badge"
51,"Jordan, EBRD, European Bank for Reconstruction and Development, Odile Renaud-Basso, Ministry, Government, Prime minister, Finance"
52,"Atmosphere of Earth, Air pollution"
53,"Mahindra & Mahindra, Railway, Anand Mahindra, SUV"
54,"Deepika Padukone, Ranveer Singh"
55,"Nepal, CNN-News18, Punjab Police, Khalistan movement, Breaking news, India, Himachal Pradesh"
56,"Nirmala Sitharaman, China, Foreign direct investment, Finance, Government of India, Finance minister, Hong Kong"
57,"Software, Market research, Report"
58,"Atique Ahmed, Prayagraj, Uttar Pradesh Police"
59,"Taarak Mehta Ka Ooltah Chashmah, Disha Vakani, Asit Kumarr Modi, Film producer, Shailesh Lodha"
60,"UIDAI, India"
61,"Railway, Chenab River, Chenab Rail Bridge, India, Jammu & Kashmir, Minister of Railways of India"
62,"Avneet Kaur, Sunny Singh, Rajpal Yadav, Annu Kapoor, Supriya Pathak"
63,"India, Action plan, Heat wave"
64,"Vinayak Damodar Savarkar, Uddhav Thackeray"
65,"March 31, Fiscal year, Mutual fund, Savings, Income tax"
66,"Atique Ahmed, Uttar Pradesh, Gujarat"
67,"The Enfield Cycle Company, 650, Bajaj Auto, Triumph Motorcycles Ltd, Royal Enfield Super Meteor"
68,"Council for the Indian School Certificate Examinations (Corporate & ISC Office), Indian Certificate of Secondary Education, Biology, CBSE Exam, class 10, 2023"
69,"iHeartRadio Music Awards, Taylor Swift, 2023, iHeartRadio Music Innovator Award"
70,Atique Ahmed
71,"Rama Navami, Social media, Peace committee, Khargone, Ranchi"
72,"Ram Charan, Kiara Advani"
73,"Vivian Dsena, Vahbbiz Dorabjee, Madhubala – Ek Ishq Ek Junoon"
74,"Platelet-rich plasma, Platelet, Blood plasma, Market research"
75,"Dust storm, China, Beijing, Pollution, Atmosphere of Earth"
76,"India, Lok Sabha, Protest"
77,"Jounce Therapeutics, NASDAQ:JNCE, Redx Pharma, Concentra, Nasdaq, Pharmaceutical industry, Mergers and acquisitions"
78,"Shah Rukh Khan, Rolls-Royce, Kareeb"
